country,year,average_annual_net_earnings
AT,2000,20525.86
AT,2001,20773.99
AT,2002,21179.51
AT,2003,21956.82
AT,2004,22004.46
AT,2005,22783.76
AT,2006,23391.46
AT,2007,23970.23
AT,2008,24492.09
AT,2009,25427.88
AT,2010,25770.16
AT,2011,26375.67
AT,2012,26893.06
AT,2013,27520.53
AT,2014,27965.34
AT,2015,28524.14
AT,2016,30601.53
AT,2017,31083.14
AT,2018,31640.93
AT,2019,32325.12
AT,2020,33032.37
AT,2021,33712.21
AT,2022,35837.4
BE,2000,18034.69
BE,2001,18884.08
BE,2002,19686.29
BE,2003,20097.89
BE,2004,20739.41
BE,2005,21273.34
BE,2006,21880.46
BE,2007,22396.97
BE,2008,23405.3
BE,2009,24323.59
BE,2010,24873.45
BE,2011,25519.85
BE,2012,26287.51
BE,2013,26609.36
BE,2014,26775.94
BE,2015,26953.59
BE,2016,27574.37
BE,2017,28238.76
BE,2018,29240.96
BE,2019,30188.71
BE,2020,30539.81
BE,2021,31063.95
BE,2022,33006.19
BG,2008,2605.86
BG,2009,2951.37
BG,2010,3202.34
BG,2011,3396.45
BG,2012,3598.45
BG,2013,3798.06
BG,2014,4033.73
BG,2015,4339.15
BG,2016,4689.05
BG,2017,5132.74
BG,2018,5447.1
BG,2019,6093.02
BG,2020,6612.77
BG,2021,7272.19
BG,2022,8411.76
CH,2000,38460.45
CH,2001,40721.56
CH,2002,42844.4
CH,2003,42012.65
CH,2004,42110.35
CH,2005,42419.78
CH,2006,42394.06
CH,2007,41779.68
CH,2008,43376.3
CH,2009,45946.3
CH,2010,50916.25
CH,2011,57359.23
CH,2012,61358.26
CH,2013,60645.88
CH,2014,59338.83
CH,2015,67281.57
CH,2016,67704.82
CH,2017,66719.38
CH,2018,64808.97
CH,2019,68231.62
CH,2020,72035.35
CH,2021,74064.39
CH,2022,81818.3
CY,2005,15591.75
CY,2006,16657.98
CY,2007,17572.13
CY,2014,19096.46
CY,2017,19531.22
CY,2018,20026.89
CY,2019,20282.76
CY,2020,20361.98
CY,2021,20951.8
CY,2022,21757.39
CZ,2000,3503.73
CZ,2001,3960.76
CZ,2002,4676.61
CZ,2003,4721.51
CZ,2004,4999.03
CZ,2005,5587.37
CZ,2006,6394.53
CZ,2007,6962.34
CZ,2008,8345.94
CZ,2009,8286.75
CZ,2010,8812.03
CZ,2011,9234.77
CZ,2012,9275.22
CZ,2013,8961.78
CZ,2014,8674.36
CZ,2015,9008.76
CZ,2016,9449.38
CZ,2017,10296.87
CZ,2018,11256.33
CZ,2019,11992.68
CZ,2020,11974.4
CZ,2021,13836.19
CZ,2022,15497.0
DE,2000,19538.92
DE,2001,20406.53
DE,2002,20871.73
DE,2003,21067.22
DE,2004,21992.56
DE,2005,22363.1
DE,2006,22504.85
DE,2007,23194.68
DE,2008,23841.5
DE,2009,23870.65
DE,2010,25374.06
DE,2011,26088.04
DE,2012,26729.61
DE,2013,27171.01
DE,2014,27791.42
DE,2015,28410.71
DE,2016,28986.32
DE,2017,29468.63
DE,2018,30419.87
DE,2019,31486.26
DE,2020,31292.95
DE,2021,32850.2
DE,2022,34438.87
DK,2000,22125.95
DK,2001,23268.35
DK,2002,24439.83
DK,2003,25154.0
DK,2004,26117.61
DK,2005,26440.34
DK,2006,27243.49
DK,2007,28469.58
DK,2008,29595.89
DK,2009,30962.07
DK,2010,32349.16
DK,2011,33153.44
DK,2012,33617.32
DK,2013,33873.44
DK,2014,34330.38
DK,2015,34689.46
DK,2016,35021.65
DK,2017,35558.92
DK,2018,36515.61
DK,2019,37361.19
DK,2020,38206.92
DK,2021,39273.77
DK,2022,40584.69
EE,2000,3068.14
EE,2001,3465.43
EE,2002,3804.81
EE,2003,4105.69
EE,2004,4470.88
EE,2005,5056.23
EE,2006,6059.12
EE,2007,7268.34
EE,2008,8249.96
EE,2009,7729.46
EE,2010,7820.19
EE,2011,8324.26
EE,2012,8812.65
EE,2013,9445.7
EE,2014,9914.95
EE,2015,10638.42
EE,2016,11454.71
EE,2017,12233.44
EE,2018,13437.69
EE,2019,14169.6
EE,2020,14444.62
EE,2021,15300.44
EE,2022,16319.23
EL,2000,12120.3
EL,2001,12441.43
EL,2002,13516.7
EL,2003,14856.55
EL,2004,16167.67
EL,2005,16572.52
EL,2006,17630.26
EL,2007,17790.0
EL,2008,17896.82
EL,2009,18510.86
EL,2010,18567.36
EL,2011,17573.29
EL,2012,17136.81
EL,2013,15845.09
EL,2014,16069.85
EL,2015,15627.52
EL,2016,15006.72
EL,2017,14898.2
EL,2018,14850.01
EL,2019,15075.5
EL,2020,14325.38
EL,2021,15118.82
EL,2022,15335.47
ES,2000,13881.61
ES,2001,14308.82
ES,2002,14793.85
ES,2003,15548.87
ES,2004,16019.09
ES,2005,16432.65
ES,2006,16832.53
ES,2007,17461.33
ES,2008,18765.37
ES,2009,19380.5
ES,2010,19399.72
ES,2011,19891.57
ES,2012,19975.06
ES,2013,20061.89
ES,2014,20169.47
ES,2015,20844.88
ES,2016,20827.52
ES,2017,20948.65
ES,2018,21198.42
ES,2019,21481.84
ES,2020,20632.83
ES,2021,21668.52
ES,2022,22293.9
FI,2000,17430.51
FI,2001,18511.05
FI,2002,19585.22
FI,2003,20290.01
FI,2004,21262.64
FI,2005,22124.75
FI,2006,23282.87
FI,2007,24744.36
FI,2008,26026.18
FI,2009,27191.47
FI,2010,27803.54
FI,2011,28421.92
FI,2012,29246.92
FI,2013,29654.15
FI,2014,29641.38
FI,2015,29918.29
FI,2016,30306.38
FI,2017,30805.85
FI,2018,31400.22
FI,2019,32135.14
FI,2020,33191.98
FI,2021,33992.19
FI,2022,34971.52
FR,2000,18923.39
FR,2001,19510.12
FR,2002,20169.97
FR,2003,20612.84
FR,2004,21131.59
FR,2005,21709.55
FR,2006,22675.17
FR,2007,23415.09
FR,2008,24249.74
FR,2009,24627.9
FR,2010,25031.8
FR,2011,25576.25
FR,2012,25978.92
FR,2013,26269.15
FR,2014,26578.46
FR,2015,26958.75
FR,2016,26880.7
FR,2017,27022.48
FR,2018,27662.94
FR,2019,28153.77
FR,2020,27466.98
FR,2021,28559.28
FR,2022,30052.7
HR,2013,7937.17
HR,2014,7970.4
HR,2015,8296.67
HR,2016,8443.99
HR,2017,8788.64
HR,2018,9168.35
HR,2019,9428.49
HR,2020,9815.98
HR,2021,10382.66
HR,2022,10864.04
HU,2000,2684.84
HU,2001,3024.35
HU,2002,3723.71
HU,2003,4112.51
HU,2004,4418.69
HU,2005,4857.23
HU,2006,4865.34
HU,2007,5249.28
HU,2008,5734.59
HU,2009,5409.39
HU,2010,6256.57
HU,2011,6146.32
HU,2012,6369.22
HU,2013,6475.08
HU,2014,6478.42
HU,2015,6703.57
HU,2016,7138.72
HU,2017,8023.72
HU,2018,8586.94
HU,2019,9390.54
HU,2020,9549.21
HU,2021,10074.96
HU,2022,10754.67
IE,2000,20955.59
IE,2001,24226.44
IE,2002,25751.62
IE,2003,26885.98
IE,2004,28094.38
IE,2005,29375.79
IE,2006,30879.33
IE,2007,32646.18
IE,2008,34033.21
IE,2009,32441.06
IE,2010,32138.69
IE,2011,31159.23
IE,2012,31541.73
IE,2013,31531.28
IE,2014,31687.39
IE,2015,32344.52
IE,2016,33346.95
IE,2017,33976.58
IE,2018,35126.52
IE,2019,36198.8
IE,2020,37199.12
IE,2021,37907.05
IE,2022,39616.81
IS,2000,27860.32
IS,2001,25313.39
IS,2002,26541.59
IS,2003,28076.81
IS,2004,29732.44
IS,2005,38019.04
IS,2006,37806.33
IS,2007,42383.61
IS,2008,27556.77
IS,2009,21683.7
IS,2010,23506.13
IS,2011,24971.24
IS,2012,27158.87
IS,2013,29098.7
IS,2014,32941.08
IS,2015,37027.37
IS,2016,44042.96
IS,2017,50456.07
IS,2018,48794.28
IS,2019,47254.37
IS,2020,44235.74
IS,2021,49514.31
IS,2022,55324.1
IT,2000,15290.8
IT,2001,15866.15
IT,2002,16104.1
IT,2003,16617.85
IT,2004,16958.72
IT,2005,17601.62
IT,2006,17984.55
IT,2007,18272.59
IT,2008,18917.81
IT,2009,19269.56
IT,2010,19705.17
IT,2011,19983.62
IT,2012,20327.68
IT,2013,20656.6
IT,2014,20930.61
IT,2015,21051.62
IT,2016,21092.75
IT,2017,21138.65
IT,2018,21294.82
IT,2019,21500.18
IT,2020,22507.69
IT,2021,22999.27
IT,2022,24102.41
JP,2000,40238.08
JP,2001,37236.06
JP,2002,33721.18
JP,2003,30622.42
JP,2004,29935.37
JP,2005,29652.05
JP,2006,27470.38
JP,2007,24701.87
JP,2008,26075.19
JP,2009,29616.95
JP,2010,32591.39
JP,2011,34313.42
JP,2012,37554.86
JP,2013,29267.53
JP,2014,27698.05
JP,2015,29484.1
JP,2016,33249.13
JP,2017,31566.35
JP,2018,31002.4
JP,2019,33222.15
JP,2020,32440.76
JP,2021,30461.6
JP,2022,29011.44
LT,2000,2270.4
LT,2001,2343.04
LT,2002,2510.39
LT,2003,2694.34
LT,2004,2871.84
LT,2005,3137.2
LT,2006,3751.73
LT,2007,4714.12
LT,2008,5667.32
LT,2009,5361.47
LT,2010,5245.02
LT,2011,5401.3
LT,2012,5635.73
LT,2013,5954.89
LT,2014,6284.47
LT,2015,6651.85
LT,2016,7217.25
LT,2017,7897.69
LT,2018,8690.66
LT,2019,9794.92
LT,2020,10787.57
LT,2021,11798.21
LT,2022,12996.85
LU,2000,25591.03
LU,2001,27493.08
LU,2002,29222.58
LU,2003,29859.4
LU,2004,30419.68
LU,2005,31176.33
LU,2006,31969.4
LU,2007,32727.56
LU,2008,34156.3
LU,2009,35539.77
LU,2010,36167.09
LU,2011,36278.25
LU,2012,37354.34
LU,2013,37792.01
LU,2014,38443.48
LU,2015,38630.79
LU,2016,38935.73
LU,2017,41340.39
LU,2018,42063.48
LU,2019,42650.78
LU,2020,44374.32
LU,2021,44934.82
LU,2022,47639.65
LV,2000,1670.31
LV,2001,1784.97
LV,2002,1891.44
LV,2003,2096.19
LV,2004,2333.7
LV,2005,2702.25
LV,2006,3371.65
LV,2007,4431.28
LV,2008,5443.86
LV,2009,5424.98
LV,2010,5068.61
LV,2011,5286.45
LV,2012,5462.67
LV,2013,5776.88
LV,2014,6264.34
LV,2015,6814.57
LV,2016,7212.23
LV,2017,7772.59
LV,2018,8474.82
LV,2019,9144.05
LV,2020,9786.84
LV,2021,11229.49
LV,2022,12315.32
MT,2005,11624.5
MT,2006,11950.15
MT,2007,12514.21
MT,2008,13542.87
MT,2009,13883.84
MT,2010,14473.93
MT,2011,15642.97
MT,2012,15999.95
MT,2013,16306.0
MT,2014,16010.0
MT,2015,16337.95
MT,2016,16926.2
MT,2017,17305.15
MT,2018,17890.15
MT,2019,19107.19
MT,2020,19652.9
MT,2021,18292.5
MT,2022,18641.55
NL,2000,21176.15
NL,2001,23516.66
NL,2002,24412.4
NL,2003,25207.28
NL,2004,25562.89
NL,2005,26118.14
NL,2006,27543.04
NL,2007,28361.73
NL,2008,28976.84
NL,2009,30291.69
NL,2010,30901.41
NL,2011,31612.2
NL,2012,31732.71
NL,2013,31241.89
NL,2014,32675.67
NL,2015,34551.5
NL,2016,34975.7
NL,2017,35426.38
NL,2018,35838.18
NL,2019,37402.24
NL,2020,39142.87
NL,2021,40433.34
NL,2022,41556.78
NO,2000,25488.81
NO,2001,27841.12
NO,2002,31706.91
NO,2003,30841.86
NO,2004,30584.86
NO,2005,33541.89
NO,2006,35049.0
NO,2007,36994.97
NO,2008,37977.11
NO,2009,36967.18
NO,2010,41684.47
NO,2011,44490.18
NO,2012,47783.08
NO,2013,47595.99
NO,2014,45903.97
NO,2015,44264.42
NO,2016,43663.67
NO,2017,44445.05
NO,2018,44694.0
NO,2019,45218.77
NO,2020,42523.5
NO,2021,45686.24
NO,2022,47902.53
PL,2000,4153.75
PL,2001,4882.23
PL,2002,4750.55
PL,2003,4338.05
PL,2004,4289.23
PL,2005,4965.12
PL,2006,5356.19
PL,2007,6163.2
PL,2008,7195.04
PL,2009,6093.94
PL,2010,6896.23
PL,2011,7085.75
PL,2012,7235.5
PL,2013,7466.23
PL,2014,7991.17
PL,2015,8275.99
PL,2016,8200.43
PL,2017,8975.57
PL,2018,9574.65
PL,2019,10225.78
PL,2020,10559.29
PL,2021,10643.29
PL,2022,12024.7
PT,2000,8469.85
PT,2001,9080.6
PT,2002,10291.56
PT,2003,10347.01
PT,2004,10612.7
PT,2005,10982.77
PT,2006,11996.8
PT,2007,12059.7
PT,2008,12157.52
PT,2009,12261.74
PT,2010,12869.63
PT,2011,12435.4
PT,2012,13158.03
PT,2013,12795.86
PT,2014,12613.06
PT,2015,12441.12
PT,2016,12724.81
PT,2017,13040.67
PT,2018,13662.54
PT,2019,14202.25
PT,2020,14384.35
PT,2021,14876.1
PT,2022,15526.44
RO,2008,3957.79
RO,2009,3575.08
RO,2010,3872.44
RO,2011,4081.39
RO,2012,4000.73
RO,2013,4340.64
RO,2014,4610.25
RO,2015,5117.82
RO,2016,5518.93
RO,2017,6049.96
RO,2018,6669.59
RO,2019,7230.37
RO,2020,7629.63
RO,2021,8069.82
RO,2022,8946.76
SE,2000,20684.65
SE,2001,20321.66
SE,2002,21700.56
SE,2003,22139.37
SE,2004,22945.65
SE,2005,23388.42
SE,2006,24243.82
SE,2007,26364.04
SE,2008,26789.77
SE,2009,25451.97
SE,2010,29043.96
SE,2011,31319.63
SE,2012,33473.42
SE,2013,34473.44
SE,2014,33923.28
SE,2015,33389.85
SE,2016,33711.94
SE,2017,33923.05
SE,2018,32688.36
SE,2019,32427.59
SE,2020,33366.68
SE,2021,35485.73
SE,2022,35233.47
SI,2000,5731.72
SI,2001,6372.14
SI,2002,6948.28
SI,2003,7517.19
SI,2004,8011.04
SI,2005,8474.72
SI,2006,8915.99
SI,2007,9820.88
SI,2008,10556.93
SI,2009,10782.68
SI,2010,11284.13
SI,2011,11567.85
SI,2012,11707.47
SI,2013,11824.18
SI,2014,11980.57
SI,2015,12062.45
SI,2016,12202.35
SI,2017,12487.25
SI,2018,12902.38
SI,2019,13298.17
SI,2020,13896.79
SI,2021,14601.22
SI,2022,15495.24
SK,2000,4196.64
SK,2001,4333.99
SK,2002,4549.97
SK,2003,4804.77
SK,2004,5247.64
SK,2005,5644.51
SK,2006,6018.99
SK,2007,6408.4
SK,2008,7023.15
SK,2009,7264.52
SK,2010,7493.69
SK,2011,7642.75
SK,2012,7797.27
SK,2013,7936.58
SK,2014,8250.32
SK,2015,8426.75
SK,2016,8654.34
SK,2017,8961.03
SK,2018,9464.61
SK,2019,9975.02
SK,2020,10250.84
SK,2021,10984.68
SK,2022,11769.11
TR,2000,6874930538.12
TR,2001,4857838076.4
TR,2002,5126309441.38
TR,2003,5235964467.04
TR,2004,5463.04
TR,2005,6521.22
TR,2006,6022.52
TR,2007,5256.32
TR,2008,5764.23
TR,2009,5594.82
TR,2010,6629.01
TR,2011,6184.54
TR,2012,6956.76
TR,2013,7107.47
TR,2014,6879.9
TR,2015,7487.85
TR,2016,8108.39
TR,2017,7214.91
TR,2018,6129.16
TR,2019,6905.8
TR,2020,6440.97
TR,2021,5845.09
TR,2022,5819.13
UK,2000,30322.73
UK,2001,31007.99
UK,2002,31745.34
UK,2003,29671.4
UK,2004,31602.41
UK,2005,32449.78
UK,2006,33695.55
UK,2007,35426.57
UK,2008,31196.54
UK,2009,28019.83
UK,2010,29829.08
UK,2011,29426.23
UK,2012,32361.69
UK,2013,31413.75
UK,2014,33290.73
UK,2015,37959.11
UK,2016,34651.93
UK,2017,33620.36
UK,2018,34278.53
UK,2019,35782.77
US,2000,26934.48
US,2001,28537.22
US,2002,27907.19
US,2003,24109.63
US,2004,22336.92
US,2005,22909.51
US,2006,23705.76
US,2007,23068.07
US,2008,22339.29
US,2009,24080.76
US,2010,25970.44
US,2011,25726.07
US,2012,28377.81
US,2013,27376.96
US,2014,28056.9
US,2015,34159.7
US,2016,34810.06
US,2017,34916.19
US,2018,35528.34
US,2019,38469.36
US,2020,41031.87
US,2021,40787.2
US,2022,46337.35
